(2.000000,249.000000)	(0.000000,249.000000)
(3.000000,249.000000)	(1.008065,249.000000)
(3.000000,248.000000)	(0.000000,248.000000)
(4.000000,249.000000)	(2.016129,249.000000)
(4.000000,248.000000)	(1.012146,248.000000)
(4.000000,247.000000)	(0.000000,247.000000)
(5.000000,249.000000)	(3.024194,249.000000)
(5.000000,248.000000)	(2.024291,248.000000)
(5.000000,247.000000)	(1.016260,247.000000)
(5.000000,246.000000)	(0.000000,246.000000)
(6.000000,249.000000)	(4.032258,249.000000)
(6.000000,248.000000)	(3.036437,248.000000)
(6.000000,247.000000)	(2.032520,247.000000)
(6.000000,246.000000)	(1.020408,246.000000)
(6.000000,245.000000)	(0.000000,245.000000)
(7.000000,249.000000)	(5.040323,249.000000)
(7.000000,248.000000)	(4.048583,248.000000)
(7.000000,247.000000)	(3.048780,247.000000)
(7.000000,246.000000)	(2.040816,246.000000)
(7.000000,245.000000)	(1.024590,245.000000)
(7.000000,244.000000)	(0.000000,244.000000)
(8.000000,249.000000)	(6.048387,249.000000)
(8.000000,248.000000)	(5.060729,248.000000)
(8.000000,247.000000)	(4.065041,247.000000)
(8.000000,246.000000)	(3.061224,246.000000)
(8.000000,245.000000)	(2.049180,245.000000)
(8.000000,244.000000)	(1.028807,244.000000)
(8.000000,243.000000)	(0.000000,243.000000)
(9.000000,249.000000)	(7.056452,249.000000)
(9.000000,248.000000)	(6.072874,248.000000)
(9.000000,247.000000)	(5.081301,247.000000)
(9.000000,246.000000)	(4.081633,246.000000)
(9.000000,245.000000)	(3.073770,245.000000)
(9.000000,244.000000)	(2.057613,244.000000)
(9.000000,243.000000)	(1.033058,243.000000)
(9.000000,242.000000)	(0.000000,242.000000)
(10.000000,249.000000)	(8.064516,249.000000)
(10.000000,248.000000)	(7.085020,248.000000)
(10.000000,247.000000)	(6.097561,247.000000)
(10.000000,246.000000)	(5.102041,246.000000)
(10.000000,245.000000)	(4.098361,245.000000)
(10.000000,244.000000)	(3.086420,244.000000)
(10.000000,243.000000)	(2.066116,243.000000)
(10.000000,242.000000)	(1.037344,242.000000)
(10.000000,241.000000)	(0.000000,241.000000)
(11.000000,249.000000)	(9.072581,249.000000)
(11.000000,248.000000)	(8.097166,248.000000)
(11.000000,247.000000)	(7.113821,247.000000)
(11.000000,246.000000)	(6.122449,246.000000)
(11.000000,245.000000)	(5.122951,245.000000)
(11.000000,244.000000)	(4.115226,244.000000)
(11.000000,243.000000)	(3.099174,243.000000)
(11.000000,242.000000)	(2.074689,242.000000)
(11.000000,241.000000)	(1.041667,241.000000)
(11.000000,240.000000)	(0.000000,240.000000)
(12.000000,249.000000)	(10.080645,249.000000)
(12.000000,248.000000)	(9.109312,248.000000)
(12.000000,247.000000)	(8.130081,247.000000)
(12.000000,246.000000)	(7.142857,246.000000)
(12.000000,245.000000)	(6.147541,245.000000)
(12.000000,244.000000)	(5.144033,244.000000)
(12.000000,243.000000)	(4.132231,243.000000)
(12.000000,242.000000)	(3.112033,242.000000)
(12.000000,241.000000)	(2.083333,241.000000)
(12.000000,240.000000)	(1.046025,240.000000)
(12.000000,239.000000)	(0.000000,239.000000)
(13.000000,249.000000)	(11.088710,249.000000)
(13.000000,248.000000)	(10.121457,248.000000)
(13.000000,247.000000)	(9.146341,247.000000)
(13.000000,246.000000)	(8.163265,246.000000)
(13.000000,245.000000)	(7.172131,245.000000)
(13.000000,244.000000)	(6.172840,244.000000)
(13.000000,243.000000)	(5.165289,243.000000)
(13.000000,242.000000)	(4.149378,242.000000)
(13.000000,241.000000)	(3.125000,241.000000)
(13.000000,240.000000)	(2.092050,240.000000)
(13.000000,239.000000)	(1.050420,239.000000)
(13.000000,238.000000)	(0.000000,238.000000)
(14.000000,249.000000)	(12.096774,249.000000)
(14.000000,248.000000)	(11.133603,248.000000)
(14.000000,247.000000)	(10.162602,247.000000)
(14.000000,246.000000)	(9.183673,246.000000)
(14.000000,245.000000)	(8.196721,245.000000)
(14.000000,244.000000)	(7.201646,244.000000)
(14.000000,243.000000)	(6.198347,243.000000)
(14.000000,242.000000)	(5.186722,242.000000)
(14.000000,241.000000)	(4.166667,241.000000)
(14.000000,240.000000)	(3.138075,240.000000)
(14.000000,239.000000)	(2.100840,239.000000)
(14.000000,238.000000)	(1.054852,238.000000)
(14.000000,237.000000)	(0.000000,237.000000)
(15.000000,249.000000)	(13.104839,249.000000)
(15.000000,248.000000)	(12.145749,248.000000)
(15.000000,247.000000)	(11.178862,247.000000)
(15.000000,246.000000)	(10.204082,246.000000)
(15.000000,245.000000)	(9.221311,245.000000)
(15.000000,244.000000)	(8.230453,244.000000)
(15.000000,243.000000)	(7.231405,243.000000)
(15.000000,242.000000)	(6.224066,242.000000)
(15.000000,241.000000)	(5.208333,241.000000)
(15.000000,240.000000)	(4.184100,240.000000)
(15.000000,239.000000)	(3.151261,239.000000)
(15.000000,238.000000)	(2.109705,238.000000)
(15.000000,237.000000)	(1.059322,237.000000)
(15.000000,236.000000)	(0.000000,236.000000)
(16.000000,249.000000)	(14.112903,249.000000)
(16.000000,248.000000)	(13.157895,248.000000)
(16.000000,247.000000)	(12.195122,247.000000)
(16.000000,246.000000)	(11.224490,246.000000)
(16.000000,245.000000)	(10.245902,245.000000)
(16.000000,244.000000)	(9.259259,244.000000)
(16.000000,243.000000)	(8.264463,243.000000)
(16.000000,242.000000)	(7.261411,242.000000)
(16.000000,241.000000)	(6.250000,241.000000)
(16.000000,240.000000)	(5.230126,240.000000)
(16.000000,239.000000)	(4.201681,239.000000)
(16.000000,238.000000)	(3.164557,238.000000)
(16.000000,237.000000)	(2.118644,237.000000)
(16.000000,236.000000)	(1.063830,236.000000)
(16.000000,235.000000)	(0.000000,235.000000)
(17.000000,249.000000)	(15.120968,249.000000)
(17.000000,248.000000)	(14.170040,248.000000)
(17.000000,247.000000)	(13.211382,247.000000)
(17.000000,246.000000)	(12.244898,246.000000)
(17.000000,245.000000)	(11.270492,245.000000)
(17.000000,244.000000)	(10.288066,244.000000)
(17.000000,243.000000)	(9.297521,243.000000)
(17.000000,242.000000)	(8.298755,242.000000)
(17.000000,241.000000)	(7.291667,241.000000)
(17.000000,240.000000)	(6.276151,240.000000)
(17.000000,239.000000)	(5.252101,239.000000)
(17.000000,238.000000)	(4.219409,238.000000)
(17.000000,237.000000)	(3.177966,237.000000)
(17.000000,236.000000)	(2.127660,236.000000)
(17.000000,235.000000)	(1.068376,235.000000)
(17.000000,234.000000)	(0.000000,234.000000)
(18.000000,249.000000)	(16.129032,249.000000)
(18.000000,248.000000)	(15.182186,248.000000)
(18.000000,247.000000)	(14.227642,247.000000)
(18.000000,246.000000)	(13.265306,246.000000)
(18.000000,245.000000)	(12.295082,245.000000)
(18.000000,244.000000)	(11.316872,244.000000)
(18.000000,243.000000)	(10.330579,243.000000)
(18.000000,242.000000)	(9.336100,242.000000)
